word_count,sentence_count,avg_word_length,noun_count,verb_count,adj_count,adv_count,entity_count,person_count,org_count,location_count,sentiment_polarity,sentiment_subjectivity,unique_words,lexical_diversity,label,text
114,5,3.991228070175439,19,15,4,3,13,5,0,0,0.0625,0.19166666666666665,97,0.8508771929824561,0,Your package cannot be delivered Today a French officer called Michel Fournier is supposed to get in
221,22,4.900452488687783,40,13,11,6,39,8,8,10,0.22402597402597405,0.4991341991341991,152,0.6877828054298643,0,"Welcome to Google Re: [UAI] causal direction of BN? Li Guoliang wrote: > Hi, > > You can find some r"
66,6,4.636363636363637,17,5,8,2,6,0,2,0,0.3081632653061224,0.6673469387755101,58,0.8787878787878788,1,PayPal: Unusual activity on your account Brand name meds at dirt cheap price. Dear 178891f9d0a50c50e
19,1,4.578947368421052,5,2,3,0,0,0,0,0,0.26666666666666666,0.6666666666666666,19,1.0,1,Your refund is ready to be claimed Girls this hot are sweet Women with menopause endorses product fo
126,16,4.309523809523809,29,18,15,8,9,0,0,0,0.20896867269635128,0.48212739641311064,94,0.746031746031746,1,Your payment has failed - update now wicked d $ rugs to keep you going welcome ! its time to stop wa
90,8,5.122222222222222,19,12,7,6,7,1,2,0,0.13999999999999999,0.61,75,0.8333333333333334,1,"PayPal: Unusual activity on your account A man endowed with a 7-8"" hammer is simply better equipped "
13,2,4.846153846153846,6,2,0,0,0,0,0,0,0.13636363636363635,0.45454545454545453,13,1.0,1,"Your inquiry about billing Ticket: plane, train. Sale New stand up comedy show"
89,8,4.134831460674158,19,10,7,5,5,2,1,0,0.25833333333333336,0.625,65,0.7303370786516854,0,Netflix: Update your billing information URL: Date: 2002-09-20T17:10:35-08:00Yesterday Viridiana cam
82,4,5.085365853658536,22,8,11,4,8,0,2,0,0.21818181818181823,0.6545454545454547,67,0.8170731707317073,1,Amazon: Your order requires confirmation Real Enlargement Amazing growth within just a few short wee
365,24,4.4,70,47,27,19,11,2,3,2,0.0949166030048383,0.567519735166794,203,0.5561643835616439,0,Project update for Phoenix Re: [Python-Dev] Capsule Summary of Some Packaging/Deployment Technology 
213,14,4.028169014084507,36,25,12,16,17,2,4,1,0.1493997668997669,0.6747086247086249,136,0.6384976525821596,0,Your Apple account has been locked Re: [opensuse] [OT] unstable system - still trying to identify th
63,3,4.634920634920635,16,6,6,3,4,0,0,0,0.28095238095238095,0.41607142857142854,49,0.7777777777777778,1,"System maintenance scheduled You Can Enlarge Your Penis By 3"" Compare Top 5 Penis Enlargers Just 2 p"
313,13,4.319488817891374,113,24,4,1,33,5,10,0,-0.10833333333333331,0.4416666666666666,139,0.4440894568690096,0,Apple ID: Verify your account From pudge@perl.org Wed Oct 9 10:51:26 2002 Return-Path:  Delivered-To
93,6,4.720430107526882,33,12,9,3,1,0,0,0,0.25863636363636366,0.4929545454545455,73,0.7849462365591398,1,"Urgent: Update your payment method perfect logo charset = koi 8 - r "" > thinking of breathing new li"
18,1,3.888888888888889,1,3,1,2,0,0,0,0,0.25,0.3125,17,0.9444444444444444,0,Your package cannot be delivered You're gonna have to be way more specific than that
29,2,4.655172413793103,6,5,0,1,6,0,2,0,0.0,0.0,28,0.9655172413793104,1,Meeting scheduled for Wednesday As one of our registered subscribers u can enter the draw 4 a 100 G.
38,4,5.157894736842105,8,4,1,0,3,2,0,0,0.625,0.25,33,0.868421052631579,1,Thanks for your purchase View Our Wholesale Rolex Replica Watches Today Buy the Patek Philippe watch
901,34,5.406215316315206,238,44,56,16,94,4,32,33,0.14342565597667636,0.38568027210884354,370,0.41065482796892344,0,Reminder: Appointment on Monday [UAI] Call for Papers: The 2008 International Conference on Genetic 
64,4,6.703125,20,7,6,5,8,2,0,1,-0.24107142857142858,0.7142857142857143,64,1.0,1,Reminder: Appointment on Tuesday fw : [ pepsico ] 86 % off vicodin . gore fraternal induct persecuto
58,5,4.810344827586207,14,11,2,2,6,0,1,2,0.125,0.3,52,0.896551724137931,1,Amazon: Your order requires confirmation Encouraging news for man?s health! Science comes to the res
514,28,2.830739299610895,213,92,5,1,50,6,9,4,0.19575757575757574,0.2636363636363636,179,0.34824902723735407,1,Your Chase account has been compromised CNN.com Daily Top 10 >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=
49,5,3.877551020408163,7,10,1,3,4,1,0,0,-0.5,0.65,40,0.8163265306122449,0,Your payment has failed - update now dec 00 daren - i need to get with you to find out when things (
99,9,4.757575757575758,17,11,3,2,15,2,4,3,0.08333333333333333,0.21666666666666667,69,0.696969696969697,1,Team lunch next week CNN Alerts: My Custom Alert CNN Alerts: My Custom Alert Alert Name: My Custom A
4719,251,3.9512608603517694,1103,761,180,204,232,30,37,0,0.17261321929059084,0.48026885279849685,797,0.1688917143462598,0,"Office closed for holiday Re: Guide Hi, Tony! Here's the help you asked for: The Sandy Guide -------"
498,18,5.48995983935743,165,90,40,6,26,0,7,1,0.007840136054421772,0.330170068027211,234,0.46987951807228917,0,Q&A session tomorrow ferc issues nopr on intra - day recalls of released capacity ngi ' s daily gas 
749,69,3.3724966622162884,161,42,16,19,173,5,9,3,0.12294345238095239,0.5208095238095238,345,0.4606141522029373,1,Password changed successfully projectors - hp / sony / toshiba / epson / viewsonic / nec / olympus /
64,4,5.140625,17,8,3,2,5,2,1,0,-0.06000000000000001,0.75,54,0.84375,0,Thank you for your feedback Re: [Python-3000] Making 2to3 installable Martin v. Löwis wrote: > When 
29,1,5.068965517241379,6,3,2,0,1,0,0,0,0.0,0.0,29,1.0,1,Your order #651459 has been cancelled Please call our customer service representative on 0800 169 60
175,12,5.034285714285715,32,23,10,7,7,1,1,0,0.1248663101604278,0.4931818181818181,110,0.6285714285714286,0,"Suspicious login attempt detected On Sat, Oct 05, 2002 at 06:06:14PM +0100, Padraig Brady mentioned:"
245,8,4.742857142857143,71,26,17,5,11,1,0,2,-0.023854166666666662,0.4457291666666666,135,0.5510204081632653,0,"Your payment has failed - update now ena analyst and associate "" brownbag "" presentations it is the "
88,3,5.045454545454546,22,8,10,2,6,0,2,0,0.585,0.78,76,0.8636363636363636,1,"URGENT: Your account will be suspended reeally works excellent hello , welcome to piilso lockchamber"
19,2,3.736842105263158,1,2,1,2,2,0,0,0,0.35,0.7,19,1.0,0,You have 482528 unread messages U wake up already? Thanx 4 e tau sar piah it's quite nice.
846,31,4.760047281323877,329,60,49,14,62,14,27,12,0.15156086729362594,0.4097048066875656,333,0.39361702127659576,0,"Invoice #948758 - Payment required [UAI] [ICAPS 2005] Workshop ""The Role of Ontologies in AI Plannin"
22,1,4.7727272727272725,3,3,2,2,1,0,0,0,-0.05000000000000001,0.5333333333333333,20,0.9090909090909091,1,"Your subscription has been renewed Barely 16 and for your pleasure Does your manhood feels heavy, we"
23,2,5.043478260869565,8,3,1,0,3,1,1,0,-0.125,0.375,22,0.9565217391304348,0,Microsoft: Security code for verification In other news after hassling me to get him weed for a week
331,18,8.027190332326285,77,62,15,3,23,6,4,0,-0.5236842105263156,0.5456140350877196,126,0.3806646525679758,0,Reminder: Appointment on Friday failed lib/CPANPLUS/Dist/Build/t/01_CPANPLUS-Dist-Build-Constants.t 
94,7,4.414893617021277,21,16,4,2,7,3,1,0,0.045833333333333344,0.6420454545454546,68,0.723404255319149,0,Q&A session tomorrow Re: [perl #47369] use Module .09 qw(:all); Father Chrysostomos (via RT) wrote: 
18,1,4.944444444444445,4,3,2,1,0,0,0,0,0.55,0.65,16,0.8888888888888888,1,"Your package cannot be delivered Mego henrik suggestion check out, pills safe and effective check ou"
147,7,5.5646258503401365,29,14,4,0,17,3,4,0,0.21111111111111114,0.41111111111111115,95,0.6462585034013606,0,You won $5000! From rssfeeds@jmason.org Tue Oct 8 10:56:17 2002 Return-Path:  Delivered-To: yyyy@loc
42,3,5.071428571428571,10,8,5,3,3,1,0,0,0.10285714285714286,0.5724489795918367,36,0.8571428571428571,1,"Action required: Confirm your identity 100% Safe To Take, With NO Side Effects. Get your free bottle"
135,14,5.051851851851852,28,15,5,0,28,6,6,1,-0.20000000000000004,0.45,57,0.4222222222222222,1,Suspicious login attempt detected Recipient jose@monkey.org Jose Sam113@wetransfer.com Sent you (jos
564,35,5.281914893617022,177,68,39,13,33,0,6,2,0.05647789156765221,0.49130284609008007,282,0.5,1,Conference registration confirmed re : new small cap growth stock structure & technology report may 
26,3,3.8846153846153846,7,2,1,0,2,2,0,0,0.41964285714285715,0.4642857142857143,26,1.0,1,Thank you for your feedback From Ericka Fournier Pe pzc nis En bcx large mie ment: Does It Work? Ord
13,2,5.923076923076923,2,1,0,0,1,1,0,0,0.346875,0.9500000000000001,11,0.8461538461538461,1,Conference registration confirmed Carmella Bing Gangbanged gRQMwha Pretty Hot Babes!! >>>
31,1,5.064516129032258,4,5,1,0,6,1,4,1,0.4681818181818182,0.6772727272727272,25,0.8064516129032258,0,"Welcome to Microsoft Re: New Python User Group forming in Maryland: BACON-PIG Oops, forgot to includ"
620,28,5.546774193548387,172,70,34,12,58,7,23,3,0.2805509007121911,0.5688940092165897,309,0.49838709677419357,0,"Your subscription has been renewed Webcast Roundup: Exchange 2007 deployment case study, mailbox rol"
819,36,4.797313797313797,210,105,47,14,57,14,3,3,0.0809017223910841,0.46760385005065846,356,0.4346764346764347,0,"Amazon: Your order requires confirmation pluto / megs update louise , please see the attached corres"
266,19,4.2406015037593985,44,27,15,18,13,6,2,0,0.13883219954648526,0.5151927437641723,148,0.556390977443609,0,Office closed for holiday Re: [Python-Dev] string representation of range in 3.0 Isaac Morland wrote
149,12,4.1879194630872485,42,12,14,7,24,0,7,0,0.36666666666666664,0.5489583333333334,102,0.6845637583892618,1,"Warning: Your email will be deleted office 2 oo 3 $ 80 . norton 2004 $ 15 , office xp $ 1 oo . adobe"
274,10,5.470802919708029,71,22,31,8,24,2,10,6,0.047157914549218895,0.23217579521927345,173,0.6313868613138686,0,Your refund is ready to be claimed [UAI] Graduate study in Human-Level Intellience Laboratory I have
335,20,3.976119402985075,53,42,17,12,17,6,1,1,0.25549242424242424,0.4912352693602693,161,0.48059701492537316,0,"Newsletter for September re : youyi vince , this will be perfect for us . we will work with shirley "
44,5,3.0681818181818183,7,3,2,0,7,3,1,1,0.0,0.0,40,0.9090909090909091,1,Your password will expire in 24 hours from Nola Melvin B hk u dy y Dr ret u qwk gs On abm line Fa id
60,6,4.266666666666667,10,5,3,4,8,3,4,0,0.11712585034013603,0.7914115646258503,53,0.8833333333333333,0,Your report is ready Re: [ILUG] ILUG AGM 2007... Thomas Rooney writes: > It would be > very easy for
30,1,6.633333333333334,8,2,1,0,4,0,3,0,-0.16666666666666666,0.26666666666666666,22,0.7333333333333333,1,Microsoft: Security code for verification Classical Bvlgari watches at Replica Classics Replica watc
265,23,4.150943396226415,57,41,23,11,12,3,0,5,0.20032986111111112,0.4585185185185185,149,0.5622641509433962,1,Suspicious login attempt detected healthy reproductive analysis i just wanted to write and thank you
41,5,12.853658536585366,12,6,2,1,3,0,3,0,0.07666666666666669,0.24,34,0.8292682926829268,1,"Your receipt from BestBuy Dear Member, You have an urget message regarding your card services visit "
70,5,4.328571428571428,18,6,4,1,6,0,3,0,0.30000000000000004,0.65,57,0.8142857142857143,0,Welcome to PayPal Yet another pre-interview query. I don't know a thing about them that isn't on the
889,76,4.802024746906636,172,113,40,30,61,18,12,1,0.17312261904761905,0.5179253968253967,363,0.40832395950506184,0,"Your report is ready [ spambayes-Patches-1707808 ] imap-tte Patches item #1707808, was opened at 200"
16,1,5.25,5,2,2,2,1,0,0,0,0.5681818181818181,0.37727272727272726,16,1.0,1,"New comment on your post Finest ewan proposal approved, medicine todays best solution check out here"
52,4,4.846153846153846,13,5,8,4,6,0,1,0,0.17386363636363636,0.5727272727272728,46,0.8846153846153846,1,Conference registration confirmed 100% Money Back Guarantee. Put on an average gain of 3.02 inches w
371,89,7.078167115902965,95,45,27,14,22,1,10,0,0.20463256255939177,0.39688786822933164,209,0.5633423180592992,0,Office closed for holiday New White Paper Roundup: Improving Software Quality: Meeting Demand and Te
506,34,3.7450592885375493,107,47,21,16,46,6,9,0,0.24168331668331666,0.6126928626928626,214,0.42292490118577075,0,"You won $500! Ok, I got ALSA installed and there is no static inbetween mp3s like before which is gr"
27,3,4.333333333333333,6,5,1,0,3,0,0,0,0.2,0.2,22,0.8148148148148148,0,"Thanks for your purchase meter 1517 - 12 / 99 meter 1517 , sweeny phillips , has been reallocated fo"
320,37,4.63125,72,44,21,7,33,8,8,2,0.08289473684210527,0.46798245614035083,200,0.625,1,"Your subscription is expiring today hey you totally forgot ! ! hey there , ra [ t ] es dropped last "
386,66,5.753886010362694,90,27,9,3,51,6,11,0,0.18484848484848485,0.7338383838383841,214,0.5544041450777202,0,Office closed for holiday From razor-users-admin@lists.sourceforge.net Mon Sep 30 21:44:28 2002 Retu
76,3,5.131578947368421,20,10,7,4,6,0,0,0,0.03666666666666666,0.7678571428571429,65,0.8552631578947368,1,"Calendar invite for TownHall You Can Enlarge Your Penis By 3"" Size DOES matter, and unfortunately, m"
684,73,5.536549707602339,192,52,22,20,82,3,6,0,-0.32664473684210527,0.7778508771929825,323,0.4722222222222222,0,"Amazon: Your order requires confirmation Original Message ----- From: ""Vipul Ved Prakash"" To: ""Sven"""
217,19,4.059907834101383,43,15,8,6,41,2,5,0,0.4262626262626263,0.7042087542087541,149,0.6866359447004609,0,"Your Citibank account has been compromised Re: Test::Harness feature suggestion On Wed, 24 Oct 2007 "
38,5,6.421052631578948,11,7,5,2,1,0,1,0,0.71875,0.7749999999999999,37,0.9736842105263158,1,Calendar invite for ReviewMeeting Men's health privae mall Want to make love everywhere? Ask us how.
77,11,5.142857142857143,11,2,2,1,11,6,3,0,0.5,0.5,63,0.8181818181818182,1,Invitation to connect on LinkedIn interesting hola a todos . my name is uriel bautista . soy de huat
336,21,4.657738095238095,78,46,16,13,28,3,5,2,0.24119047619047623,0.38595238095238094,203,0.6041666666666666,0,"You have 308777 unread messages Act now to get an EXTRA 20% OFF your order! Dear Tony Meyer, If you'"
38,5,4.7105263157894735,9,7,3,0,4,1,1,1,0.5833333333333334,0.8333333333333333,25,0.6578947368421053,1,"Thank you for your feedback If you want a decent watch, get a replica approach. ... Looking for Tag "
32,1,5.34375,12,4,5,0,2,0,0,0,0.09393939393939395,0.2775757575757576,32,1.0,0,Your Facebook account has been locked URL: Date: 2002-09-26T13:42:57+01:00*Business:* Black entrepre
51,5,4.745098039215686,10,10,3,3,6,2,0,0,0.21409090909090905,0.3209090909090909,48,0.9411764705882353,1,"You won $2500! Your happiness is much closer now I could not believe, but this enlargement method to"
25,2,5.56,10,2,2,3,2,1,1,0,0.0,0.2,24,0.96,1,Verify your account immediately For men with erectile dysfunction Grow longer and harder with our al
174,10,4.5344827586206895,34,18,6,6,19,3,3,1,-0.07670454545454547,0.47765151515151516,134,0.7701149425287356,0,Confirm your shipping address Re: [Python-Dev] Reminder: last alphas next Wednesday 07-May-2008 -On 
145,11,4.524137931034483,30,20,6,2,16,4,6,1,0.1173076923076923,0.5153846153846154,109,0.7517241379310344,0,"Your refund is ready to be claimed Re: sa-learn and message size On 18.11.07 19:45, Nico Weinreich w"
128,13,4.4765625,27,26,8,9,5,1,0,0,0.1583333333333333,0.5533333333333333,84,0.65625,1,You have 834551 unread messages impress your girl with a huge cumshot ! heya ! has your cum ever dri
99,8,4.828282828282828,18,11,3,2,14,1,4,3,0.0715909090909091,0.30113636363636365,69,0.696969696969697,1,Office closed for holiday CNN Alerts: My Custom Alert CNN Alerts: My Custom Alert Alert Name: My Cus
160,8,4.50625,31,20,11,3,12,1,5,0,0.1280387205387205,0.508493265993266,111,0.69375,1,"Project update for Alpha Hi, I would like you to enjoy the same success that I have had, since joini"
67,6,4.447761194029851,10,7,7,3,4,1,0,0,0.30476190476190473,0.5071428571428572,57,0.8507462686567164,1,Your refund is ready to be claimed she can never find someone like you. Dear 77bbe1025e416f42a0e8266
313,15,4.498402555910543,111,22,5,1,48,8,10,0,-0.07738095238095236,0.38690476190476186,152,0.48562300319488816,0,Newsletter for November From pudge@perl.org Mon Aug 26 15:17:33 2002 Return-Path:  Delivered-To: yyy
15,1,5.866666666666666,3,3,2,2,2,0,2,0,0.6166666666666667,0.75,13,0.8666666666666667,1,"Password changed successfully Mego henrik suggestion check out, pills safe and effective check out h"
77,4,5.207792207792208,5,5,5,4,9,0,0,0,0.6469696969696971,0.827994227994228,56,0.7272727272727273,0,"You have 823655 unread messages &lt;#&gt; is fast approaching. So, Wish u a very Happy New Year Happ"
282,23,5.0177304964539005,39,34,8,6,26,7,8,4,-0.011111111111111118,0.17777777777777778,105,0.3723404255319149,1,Microsoft: Security code for verification Request for Quotation ; Trade Center Emily Yan Import Mana
158,17,3.759493670886076,21,14,5,0,15,3,8,0,0.14285714285714285,0.5571428571428572,103,0.6518987341772152,0,"Calendar invite for Workshop On Mon, Aug 12, 2002 at 07:59:21PM +0200, Paul Linehan wrote: > > ""John"
60,3,4.666666666666667,16,10,1,0,2,1,0,0,0.2,1.0,48,0.8,0,"Security alert: Unusual activity detected opm - activities daren , i wanted to send you a copy of th"
22,3,4.409090909090909,6,4,1,0,1,0,1,0,0.5,0.6,20,0.9090909090909091,0,Your WellsFargo account has been compromised I love to give massages. I use lots of baby oil... What
539,24,3.6493506493506493,82,61,9,22,30,6,11,2,0.1515151515151515,0.60981240981241,226,0.41929499072356213,0,Your password will expire in 24 hours Re: [opensuse] VirtualBox OSE problmes with openSUSE 10.3 On T
99,8,4.767676767676767,16,12,4,3,13,1,4,3,0.12499999999999999,0.325,68,0.6868686868686869,1,Claim your prize now CNN Alerts: My Custom Alert CNN Alerts: My Custom Alert Alert Name: My Custom A
214,34,4.336448598130841,23,39,11,11,21,7,7,2,0.15464285714285717,0.42178571428571426,112,0.5233644859813084,0,"IRS: You have a tax refund pending [opensuse] Knetworkmanager, wireless, I'm going nuts :-) Hi list,"
525,27,5.340952380952381,104,52,24,20,56,6,15,5,0.24340909090909085,0.6384469696969697,289,0.5504761904761905,1,New features available ATTENTION! PLEASE GO THROUGH YOUR MESSAGE (VERY URGENT) POWER BALL ORGANIZATI
36,4,4.777777777777778,12,3,2,0,1,0,0,1,0.4,0.55,31,0.8611111111111112,0,"Confirm your shipping address email address ? ? ? dear linguists , does anyone know where can i get "
196,16,5.086734693877551,47,23,5,10,11,5,2,0,-0.09814814814814815,0.340432098765432,143,0.7295918367346939,0,Your order has been shipped Re: [Python-Dev] FreeBSD test suite failure -> curses -On [20080309 23:5
21,4,5.857142857142857,5,0,3,0,2,0,1,0,0.375,0.5,18,0.8571428571428571,1,Team lunch next week Interesting presentation Salma Hayek #xTCzzmClara Morgane Gallery presentation.
39,3,4.769230769230769,12,2,5,0,3,1,1,0,0.5499999999999999,0.5166666666666667,33,0.8461538461538461,1,"Your refund is ready to be claimed Replica watches, pens, bags and more... Cheap luxury gifts ... Wa"
115,11,4.2956521739130435,23,20,3,4,10,2,2,0,0.04166666666666668,0.5555555555555555,80,0.6956521739130435,0,"Your Microsoft account has been locked Re: Work Ciao, Tony! I scheduled this for you: #1 Mon, 12/5 1"
52,2,3.9615384615384617,22,5,1,0,15,0,4,0,0.0,0.75,24,0.46153846153846156,1,"Delivery scheduled for Tuesday Hello You received a file 1 item, 3MB in total 0FB Expires in 25 minu"
524,18,5.883587786259542,157,44,52,21,26,7,10,3,0.12418014375561542,0.45571653189577715,272,0.5190839694656488,0,Action required: Confirm your identity [UAI] CFP: AAI Special Issue on Applications of Grammatical I
342,30,3.754385964912281,43,46,19,14,18,3,2,0,0.2504120879120879,0.5620039682539683,177,0.5175438596491229,0,"Click here to verify your information Re: [Python-3000] Making 2to3 installable On Sun, Mar 16, 2008"
667,27,5.5922038980509745,149,91,58,18,43,7,24,0,0.15748468512619457,0.41370905823736004,351,0.5262368815592204,0,URGENT: Your account will be suspended SCM Best Practices for Continuous Integration SYS-CON Technic
19,2,4.368421052631579,4,3,1,0,1,0,0,0,0.4375,0.65,18,0.9473684210526315,0,Meeting scheduled for Monday Thats cool! I am a gentleman and will treat you with dignity and respec
54,5,4.537037037037037,12,7,3,2,8,0,0,0,0.1,0.375,49,0.9074074074074074,0,Your report is ready intern compensation sally : summer analysts will benefit from our recent compen
276,14,4.510869565217392,46,41,18,21,16,3,3,2,0.10316825396825396,0.5571587301587302,174,0.6304347826086957,0,Invoice #580686 - Payment required Re: [opensuse] [OT] How much power does a PC really consume? On T
153,15,4.019607843137255,26,21,14,13,12,2,1,1,0.20826648841354728,0.4751973516679398,109,0.7124183006535948,1,"Password changed successfully free book ! from # 1 best - selling financial author , robert allen i "
1064,41,5.841165413533835,42,49,12,5,188,27,113,35,0.09378177539514747,0.33834189066747206,442,0.41541353383458646,0,Your receipt from Walmart Dice JobAlert for Agent Primary Dice.com - Job Alert Sponsored Message Pro
20,1,4.0,3,1,3,3,0,0,0,0,0.25,0.4916666666666667,18,0.9,1,Claim your prize now All will be as you want Be more satisfied with your inner life Low prices here
111,16,4.342342342342342,28,7,3,1,28,3,3,4,0.36,0.6449999999999999,85,0.7657657657657657,0,Job application received market transparency ruling and bingaman bill per lisa yoho and linda robert
113,6,4.522123893805309,46,14,3,0,6,0,1,0,0.21250000000000002,0.2833333333333333,70,0.6194690265486725,0,Your Microsoft account has been locked [PATCH] Fix 'abs' and 'neg' overloading for 64-bit ints (revi
58,5,4.913793103448276,11,11,3,2,4,0,4,0,0.203125,0.26666666666666666,48,0.8275862068965517,1,Verify your account immediately Control your male power Chalking your problems in bed up to your sma
296,15,5.77027027027027,46,21,8,6,44,9,10,1,0.03508547008547008,0.44914529914529916,175,0.5912162162162162,0,Verify your account immediately From fork-admin@xent.com Wed Oct 9 10:55:12 2002 Return-Path:  Deliv
72,13,5.236111111111111,13,14,4,4,1,0,1,0,0.18571428571428572,0.4685714285714286,47,0.6527777777777778,1,Act now: Limited time offer Your ads have been suspended. -------------------------------------- ---
76,4,4.881578947368421,20,10,8,2,4,0,0,0,0.3255952380952381,0.6738095238095237,63,0.8289473684210527,1,Act now: Limited time offer Ranking And Reviews Of The Top 5 Penis Enlargement Products! Read hundre
15,3,3.8666666666666667,5,2,1,1,1,1,0,0,0.0,0.0,14,0.9333333333333333,0,Urgent: Update your payment method Yar lor... How u noe? U used dat route too?
97,7,4.680412371134021,18,14,10,6,7,0,1,0,0.35833333333333334,0.5058333333333332,77,0.7938144329896907,1,Your Google account has been locked 123 I got good news for you! Breathtaking performance in bed! Cl
22,1,4.681818181818182,6,3,1,2,1,0,1,0,0.0,0.0,21,0.9545454545454546,0,Microsoft: Security code for verification Is there any movie theatre i can go to and watch unlimited
62,8,4.887096774193548,11,7,7,3,4,0,0,0,0.3659863945578231,0.5537414965986395,56,0.9032258064516129,1,Warning: Your email will be deleted Healthy relationship? Easily. Dear 1b10055440efac18fc80423f8be26
13,3,4.384615384615385,3,3,2,0,0,0,0,0,0.25,0.55,13,1.0,0,Confirm your shipping address Hey leave it. not a big deal:-) take care.
88,7,4.443181818181818,17,13,7,4,8,2,3,0,-0.060416666666666674,0.6479166666666667,68,0.7727272727272727,0,IRS: You have a tax refund pending Re: [Python-3000] [Python-Dev] Invitation to try out open source 
92,5,5.076086956521739,17,9,4,0,9,5,3,0,-0.04522727272727273,0.4709090909090909,74,0.8043478260869565,0,"Microsoft: Security code for verification Re: [Python-Dev] Auto-Assignment -On [20080307 11:05], Gui"
471,32,5.203821656050955,139,57,38,21,37,3,0,16,0.14430588351042895,0.42894529712711543,276,0.5859872611464968,0,Invitation to connect on LinkedIn greater houston partnership article cathy - - thanks for talking t
25,1,5.28,14,4,3,0,1,0,1,0,-0.4,0.6,24,0.96,1,Suspicious login attempt detected G-spot location techniques for men Studies show women hate men wit
197,16,4.441624365482234,50,33,13,9,9,0,0,0,0.3405092592592593,0.5046296296296297,118,0.5989847715736041,1,System maintenance scheduled you are approved for your loan ! ! ! approval no . ( 1848025 ) refinanc
86,1,4.488372093023256,20,14,12,3,3,0,1,0,0.20803571428571427,0.5380952380952381,73,0.8488372093023255,1,Amazon: Your order requires confirmation astounding it is a real relief for people who need their rx
6,2,11.5,1,2,0,0,1,0,0,0,0.0,0.0,6,1.0,1,You won $2500! RemedyPharmacyProducts CertifiedMoneybackPolicyFastShipping
